"ID";"Population2013";"ToSelectForFigs"
"PARIS";2229621;1
"MARSEILLE";855393;1
"LYON";500715;1
"TOULOUSE";458298;1
"NICE";342295;1
"NANTES";292718;1
"STRASBOURG";275718;NA
"MONTPELLIER";272084;NA
"BORDEAUX";243626;NA
"LILLE";231491;1
"RENNES";211373;1
"LE HAVRE";172074;1
"SAINT ETIENNE";172023;NA
"GRENOBLE";160215;NA
"DIJON";153003;1
"NIMES";150564;NA
"ANGERS";150125;NA
"SAINT DENIS";142442;NA
"CLERMONT FERRAND";141463;NA
"BREST";139386;1
"TOURS";134803;1
"AMIENS";132699;NA
"METZ";118634;1
"BESANCON";116952;1
"ROUEN";110755;1
"CAEN";107229;NA
"NANCY";104072;NA
"DUNKERQUE";89882;NA
"POITIERS";87427;1
"FORT DE FRANCE";84174;NA
"BEZIERS";74811;NA
"LA ROCHELLE";74344;NA
"QUIMPER";63532;NA
"VALENCE";61767;NA
"NIORT";57393;1
"ANNECY";52029;1
"ALBI";49342;NA
"BAYONNE";47492;NA
"CARCASSONNE";46724;NA
"SAINT BRIEUC";45331;NA
"VALENCIENNES";42851;1
"ANGOULEME";41970;NA
"THIONVILLE";41627;NA
"DOUAI";41189;NA
"CHERBOURG";37055;1
"ANNEMASSE";34610;1
"CREIL";34262;1
"ALENCON";26350;1
"LONGWY";14092;NA
